,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Dingle,PH,76.08,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
4,Sao Filipe,CV,78.78,broken clouds,14.8961,-24.4956,Hotel Xaguate
9,Jibuti,DJ,75.22,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
20,Batticaloa,LK,77.14,moderate rain,7.7102,81.6924,Treatooo Hotel
21,Itacare,BR,82.56,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
23,Piacabucu,BR,83.59,clear sky,-10.4056,-36.4344,Piaçabuçu News
24,Kudahuvadhoo,MV,80.2,light rain,2.6708,72.8944,Niyama Private Islands Maldives
26,Micheweni,TZ,78.8,broken clouds,-4.9667,39.8333,
28,Bandarbeyla,SO,80.28,scattered clouds,9.4942,50.8122,JABIR HOTEL
29,Hithadhoo,MV,82.04,broken clouds,-0.6,73.0833,Scoop Guest House
30,Mitu,CO,86.36,overcast clouds,1.1983,-70.1733,
35,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,Casa Tia Villa
36,Cururupu,BR,89.64,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
37,Bilma,NE,77.31,clear sky,18.6853,12.9164,Expeditions Ténére voyages
41,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
42,Paso De Carrasco,UY,79.25,scattered clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
45,Sinnamary,GF,83.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
49,Hambantota,LK,78.78,overcast clouds,6.1241,81.1185,Bungalow 63
50,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
51,Itarema,BR,87.62,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
53,Bonthe,SL,82.71,light rain,7.5264,-12.505,Bonthe Holiday Village
58,Harlingen,US,82.94,few clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
60,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
63,Beinamar,TD,83.71,scattered clouds,8.6698,15.3813,
66,Benguela,AO,75.18,few clouds,-12.5763,13.4055,Hotel Praia Morena
68,Acandi,CO,81.61,moderate rain,8.5063,-77.2778,Hotel Patio Bonito
69,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
71,Linden,GY,83.88,moderate rain,6.0,-58.3,Crimson Bat Hotel
73,Kavaratti,IN,82.89,scattered clouds,10.5669,72.642,Green leaf
81,Caravelas,BR,84.99,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
83,Akim Swedru,GH,80.94,light rain,5.8938,-1.0164,JOMIKUS GUEST HOUSE
86,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
88,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
92,Komatipoort,ZA,78.04,overcast clouds,-25.4332,31.9548,Kruger View Backpackers
93,Bahia Blanca,AR,77.97,broken clouds,-38.7196,-62.2724,Hotel Argos
94,Nouadhibou,MR,75.18,broken clouds,20.931,-17.0347,El Medina
98,Vallenar,CL,80.31,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
99,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
109,Victoria,HK,77.38,clear sky,22.2855,114.1577,Mini Central
110,Vila Velha,BR,87.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
111,San Andres,CO,77.02,drizzle,12.5847,-81.7006,Hotel Arena Blanca
117,Ambilobe,MG,76.35,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
121,Iranshahr,IR,77.34,clear sky,27.2025,60.6848,نیک سرشت
122,San Juan,AR,79.41,scattered clouds,-31.5375,-68.5364,Hotel Provincial
123,Bondo,CD,77.56,overcast clouds,3.8146,23.6866,
125,Morant Bay,JM,87.42,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
127,Kribi,CM,78.26,moderate rain,2.95,9.9167,La Grace Hôtel
133,Luba,GQ,79.43,light rain,3.4568,8.5547,
137,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
138,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
139,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
140,Axim,GH,81.91,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
141,Matara,LK,77.05,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
145,Nouakchott,MR,82.58,broken clouds,18.0858,-15.9785,HOTEL IMAN
148,Kalmunai,LK,76.86,light rain,7.4167,81.8167,VS Villa
158,Adiake,CI,81.5,broken clouds,5.2863,-3.304,HOTEL COEUR D'OR
164,Bajil,YE,83.73,light rain,15.0584,43.2851,فندق حضرموت
168,Sao Felix Do Xingu,BR,87.53,broken clouds,-6.6447,-51.995,Rio Xingu Camping
169,Savannah Bight,HN,80.96,clear sky,16.45,-85.85,Villa on Dunbar Rock
170,Susangerd,IR,79.79,overcast clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
173,Araouane,ML,85.1,clear sky,18.9048,-3.5265,
179,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
180,Akyab,MM,75.07,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
181,Mar Del Plata,AR,78.84,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
184,Inhambane,MZ,80.58,broken clouds,-23.865,35.3833,Oceano
190,Gudur,IN,77.77,overcast clouds,14.1333,79.85,Gudur OHE store
191,Harper,LR,80.87,light rain,4.375,-7.7169,Screensaver
198,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
199,Zamora,EC,79.84,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
200,Camopi,GF,77.07,overcast clouds,3.1655,-52.3158,La pousada
203,Adrar,MR,86.02,clear sky,20.5022,-10.0711,
204,Pitimbu,BR,88.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
206,Xuddur,SO,81.84,broken clouds,4.1213,43.8894,Banjanay Hotel
220,Yanam,IN,78.48,broken clouds,16.7333,82.2167,The Regency Hotel
226,Morondava,MG,81.75,scattered clouds,-20.2833,44.2833,La Case Bambou
227,Barra,BR,88.25,few clouds,-11.0894,-43.1417,Pousada Bahia
228,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
230,Gwadar,PK,79.86,clear sky,25.1216,62.3254,Sadaf Resort
232,Boa Vista,BR,87.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
236,Mange,SL,86.34,scattered clouds,8.9167,-12.85,Ferry Manage Burah
237,West Bay,KY,84.99,few clouds,19.3667,-81.4167,Calypso Cove
238,Chake Chake,TZ,76.96,broken clouds,-5.2459,39.7666,Pemba Sea View Hotel
249,Quatre Cocos,MU,76.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
254,Shakawe,BW,79.34,broken clouds,-18.3667,21.85,EdenWood Lodge
255,Caete,BR,88.05,few clouds,-19.88,-43.6697,Hotel JM Ferreira
256,Santa Maria,BR,79.9,clear sky,-29.6842,-53.8069,Hotel Morotin
258,Tela,HN,82.35,scattered clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
262,Bengkulu,ID,75.49,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
272,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
277,Waw,SS,82.56,broken clouds,7.7029,27.9953,Universal Gab Hotel
278,Cockburn Town,TC,82.2,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
281,Touros,BR,84.94,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
285,Mogadishu,SO,79.52,broken clouds,2.0371,45.3438,Hotel Juba
287,Buraydah,SA,79.25,broken clouds,26.326,43.975,Mövenpick Qassim
288,Rosignol,GY,81.41,heavy intensity rain,6.2833,-57.5333,Little Rock Suites
289,Abu Zabad,SD,79.25,scattered clouds,12.35,29.25,حامد محمد نور
290,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
292,Farafangana,MG,75.11,scattered clouds,-22.8167,47.8333,Miarina
293,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
299,Mattru,SL,83.66,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
