City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saldanha,ZA,-33.0117,17.9442,73.45,74,0,11.25,clear sky
1,Krasnoselkup,RU,65.7,82.4667,-2.74,94,100,7.09,overcast clouds
2,Ponta Delgada,PT,37.7333,-25.6667,70.52,88,75,28.77,broken clouds
3,Dingle,PH,10.9995,122.6711,76.08,91,70,6.64,broken clouds
4,Sao Filipe,CV,14.8961,-24.4956,78.78,69,72,10.02,broken clouds
5,Diamantino,BR,-14.4086,-56.4461,101.97,22,10,6.58,clear sky
6,Ushuaia,AR,-54.8,-68.3,49.62,42,40,5.75,scattered clouds
7,Qaanaaq,GL,77.484,-69.3632,-10.23,61,0,8.77,clear sky
8,Ordubad,AZ,38.9059,46.0234,48.96,83,96,8.01,overcast clouds
9,Jibuti,DJ,11.5,42.5,75.22,72,33,17.63,scattered clouds
10,Jamestown,US,42.097,-79.2353,64.02,36,0,11.5,clear sky
11,Vardo,NO,70.3705,31.1107,35.58,87,75,6.91,broken clouds
12,Hermanus,ZA,-34.4187,19.2345,65.8,69,1,19.37,clear sky
13,Taybad,IR,34.74,60.7756,48.54,45,96,11.45,overcast clouds
14,Longyearbyen,SJ,78.2186,15.6401,24.64,80,75,12.66,broken clouds
15,Port Elizabeth,ZA,-33.918,25.5701,64.69,69,100,12.66,overcast clouds
16,Busselton,AU,-33.65,115.3333,53.37,82,65,15.12,broken clouds
17,Port Alfred,ZA,-33.5906,26.891,63.18,78,100,5.01,overcast clouds
18,Pisco,PE,-13.7,-76.2167,67.01,77,0,10.36,clear sky
19,Chebsara,RU,59.2002,38.8356,45.73,93,100,9.62,overcast clouds
20,Batticaloa,LK,7.7102,81.6924,77.14,87,98,10.78,moderate rain
21,Itacare,BR,-14.2775,-38.9967,82.56,62,33,7.9,scattered clouds
22,Wattens,AT,47.2722,11.5993,47.41,92,40,1.14,scattered clouds
23,Piacabucu,BR,-10.4056,-36.4344,83.59,64,1,8.84,clear sky
24,Kudahuvadhoo,MV,2.6708,72.8944,80.2,77,100,8.79,light rain
25,Husavik,IS,66.0449,-17.3389,41.74,97,100,23.33,light rain
26,Micheweni,TZ,-4.9667,39.8333,78.8,84,84,9.15,broken clouds
27,Clyde River,CA,70.4692,-68.5914,-3.77,71,75,17.27,broken clouds
28,Bandarbeyla,SO,9.4942,50.8122,80.28,69,28,14.85,scattered clouds
29,Hithadhoo,MV,-0.6,73.0833,82.04,73,81,12.75,broken clouds
30,Mitu,CO,1.1983,-70.1733,86.36,57,99,3.02,overcast clouds
31,Ponta Do Sol,PT,32.6667,-17.1,72.23,82,44,6.38,scattered clouds
32,Cape Town,ZA,-33.9258,18.4232,73.81,52,20,12.66,few clouds
33,Novoagansk,RU,61.9449,76.6625,20.82,95,98,4.27,overcast clouds
34,Knysna,ZA,-34.0363,23.0471,63.66,72,9,15.99,clear sky
35,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,20,3.44,few clouds
36,Cururupu,BR,-1.8283,-44.8683,89.64,48,35,7.43,scattered clouds
37,Bilma,NE,18.6853,12.9164,77.31,16,0,8.03,clear sky
38,Zawiercie,PL,50.4877,19.4168,50.2,93,32,3.0,scattered clouds
39,Resistencia,AR,-27.4606,-58.9839,66.18,82,100,13.8,light rain
40,Ribeira Grande,PT,38.5167,-28.7,61.77,72,75,17.27,broken clouds
41,Najran,SA,17.4924,44.1277,79.45,20,2,7.72,clear sky
42,Paso De Carrasco,UY,-34.8603,-56.0522,79.25,53,40,12.66,scattered clouds
43,Dikson,RU,73.5069,80.5464,0.5,92,35,7.0,scattered clouds
44,Kalevala,RU,65.2,31.1667,33.08,99,100,1.9,overcast clouds
45,Sinnamary,GF,5.3833,-52.95,83.17,76,92,7.7,overcast clouds
