City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tupik,RU,2022-11-09 01:51:39,54.4253,119.9327,18.99,72,3,6.15
1,Kolokani,ML,2022-11-09 01:51:39,13.5728,-8.0339,71.8,18,12,6.46
2,Nanortalik,GL,2022-11-09 01:51:39,60.1432,-45.2371,28.87,71,61,7.85
3,Krasnyy Luch,UA,2022-11-09 01:51:40,48.1395,38.9371,36.86,90,100,2.57
4,Touros,BR,2022-11-09 01:51:40,-5.1989,-35.4608,77.97,80,51,11.18
5,Hobart,AU,2022-11-09 01:45:26,-42.8794,147.3294,80.22,57,20,11.5
6,Road Town,VG,2022-11-09 01:40:55,18.4167,-64.6167,82.49,94,40,8.05
7,Ushuaia,AR,2022-11-09 01:43:05,-54.8,-68.3,47.86,53,75,3.44
8,Lincoln,US,2022-11-09 01:50:29,40.8,-96.667,65.17,86,100,17.27
9,Krasnoselkup,RU,2022-11-09 01:51:41,65.7,82.4667,14.59,96,100,8.88
10,Syracuse,IT,2022-11-09 01:51:41,37.0881,15.2792,60.39,77,3,3.74
11,Bluff,NZ,2022-11-09 01:42:59,-46.6,168.3333,54.45,82,98,16.6
12,Strezhevoy,RU,2022-11-09 01:51:42,60.7333,77.5889,25.65,95,100,9.08
13,Rikitea,PF,2022-11-09 01:42:58,-23.1203,-134.9692,75.78,87,100,13.56
14,Cape Town,ZA,2022-11-09 01:43:06,-33.9258,18.4232,61.88,80,40,6.91
15,Porto Novo,BJ,2022-11-09 01:51:42,6.4965,2.6036,82.22,83,12,5.73
16,Longyearbyen,SJ,2022-11-09 01:51:43,78.2186,15.6401,24.64,80,75,8.05
17,Carnarvon,AU,2022-11-09 01:51:43,-24.8667,113.6333,70.47,52,67,10.36
18,Nikolskoye,RU,2022-11-09 01:45:26,59.7035,30.7861,42.69,90,100,5.57
19,Nome,US,2022-11-09 01:51:43,64.5011,-165.4064,35.67,93,100,19.57
20,Port Alfred,ZA,2022-11-09 01:43:05,-33.5906,26.891,64.18,94,100,1.99
21,Rio Gallegos,AR,2022-11-09 01:51:44,-51.6226,-69.2181,55.45,50,75,6.91
22,Mataura,NZ,2022-11-09 01:42:55,-46.1927,168.8643,59.41,69,97,10.58
23,New Norfolk,AU,2022-11-09 01:42:55,-42.7826,147.0587,79.88,37,99,1.99
24,Hilo,US,2022-11-09 01:45:37,19.7297,-155.09,78.53,81,75,6.91
25,Batemans Bay,AU,2022-11-09 01:51:44,-35.7167,150.1833,70.11,58,12,11.65
26,Atuona,PF,2022-11-09 01:42:56,-9.8,-139.0333,77.23,72,6,14.97
27,Punta Arenas,CL,2022-11-09 01:43:03,-53.15,-70.9167,51.91,58,75,29.93
28,Hofn,IS,2022-11-09 01:51:45,64.2539,-15.2082,42.73,80,100,16.11
29,Pevek,RU,2022-11-09 01:45:39,69.7008,170.3133,-7.37,100,78,3.58
30,Bereda,ES,2022-11-09 01:51:45,43.2686,-7.5406,53.42,100,98,4.97
31,Cayenne,GF,2022-11-09 01:50:28,4.9333,-52.3333,75.24,94,100,0.0
32,Mount Isa,AU,2022-11-09 01:51:46,-20.7333,139.5,98.37,19,75,9.22
33,Port Elizabeth,ZA,2022-11-09 01:42:57,-33.918,25.5701,66.09,75,100,12.66
34,Jamestown,US,2022-11-09 01:45:32,42.097,-79.2353,40.64,68,0,6.91
35,Butaritari,KI,2022-11-09 01:51:46,3.0707,172.7902,81.05,77,24,10.4
36,Ostrovnoy,RU,2022-11-09 01:51:47,68.0531,39.5131,37.09,83,94,7.34
37,Brownsville,US,2022-11-09 01:51:47,25.9018,-97.4975,78.91,89,0,6.91
